Institution,State,Cost,MedianDebt,MedianEarnings,UndergradSize
Goucher College,MD,68893.0,17882,53023.0,948.0
Hagerstown Community College,MD,11798.0,6500,41615.0,2783.0
Harford Community College,MD,14290.0,7241,44608.0,3628.0
Hood College,MD,59174.0,18185,57089.0,1202.0
Howard Community College,MD,15645.0,8250,49020.0,6779.0
Johns Hopkins University,MD,81300.0,9000,87555.0,5617.0
Loyola University Maryland,MD,71606.0,23882,82652.0,3975.0
University of Maryland Global Campus,MD,19790.0,10500,65287.0,48238.0
University of Maryland-Baltimore County,MD,27935.0,15750,69960.0,10434.0
University of Maryland-College Park,MD,28073.0,17000,82860.0,30246.0
Maryland Institute College of Art,MD,71366.0,16250,45212.0,1319.0
University of Maryland Eastern Shore,MD,27799.0,18500,47697.0,2165.0
Montgomery College,MD,14410.0,7000,50159.0,13519.0
Morgan State University,MD,24778.0,19500,50698.0,8293.0
Mount St. Mary's University,MD,62078.0,15000,64072.0,1806.0
Ner Israel Rabbinical College,MD,25650.0,PS,66330.0,292.0
Notre Dame of Maryland University,MD,60362.0,17990,65344.0,684.0
Prince George's Community College,MD,16107.0,6000,47548.0,8049.0
Salisbury University,MD,26134.0,15750,61515.0,6056.0
St. Mary's College of Maryland,MD,31319.0,17000,60110.0,1566.0
St. John's College,MD,52683.0,19500,51584.0,488.0
Towson University,MD,26621.0,15362,64390.0,16400.0
Stevenson University,MD,57322.0,21500,62079.0,3027.0
Washington College,MD,70191.0,21000,65518.0,890.0
McDaniel College,MD,62974.0,15000,60663.0,1652.0
Wor-Wic Community College,MD,12199.0,3500,36748.0,2047.0
American International College,MA,55463.0,21063,53124.0,1097.0
Amherst College,MA,83650.0,12000,77644.0,1907.0
Anna Maria College,MA,61106.0,17500,46651.0,948.0
Assumption University,MA,61777.0,24250,74895.0,1664.0
Babson College,MA,77248.0,19000,123938.0,2696.0
Boston Baptist College,MA,26691.0,PS,34159.0,31.0
Bay Path University,MA,47064.0,19100,55383.0,1186.0
Bentley University,MA,77082.0,24007,120959.0,4288.0
Berklee College of Music,MA,69874.0,15750,33647.0,7510.0
Berkshire Community College,MA,17544.0,8250,38832.0,1100.0
Boston Architectural College,MA,47152.0,24750,62123.0,269.0
Boston College,MA,83683.0,17962,103937.0,9865.0
Boston University,MA,82694.0,21500,83238.0,17850.0
Brandeis University,MA,82123.0,23250,77231.0,3663.0
Bridgewater State University,MA,25164.0,18746,57466.0,7899.0
Bristol Community College,MA,11846.0,5250,38663.0,5073.0
Bunker Hill Community College,MA,14699.0,5500,47618.0,7322.0
Cape Cod Community College,MA,14356.0,6443,43670.0,2223.0
Clark University,MA,64426.0,22141,62381.0,2336.0
Curry College,MA,61556.0,18320,54400.0,1757.0
Dean College,MA,62802.0,12000,38109.0,1142.0
Eastern Nazarene College,MA,41948.0,19500,54727.0,378.0
Emerson College,MA,77153.0,19000,62832.0,4145.0
Emmanuel College,MA,63864.0,22969,68245.0,1874.0
Endicott College,MA,57533.0,23250,58336.0,3101.0
Fisher College,MA,52723.0,12500,49669.0,1138.0
Fitchburg State University,MA,24517.0,18220,53874.0,2825.0
Framingham State University,MA,26539.0,17224,52349.0,2556.0
Benjamin Franklin Cummings Institute of Technology,MA,27631.0,9500,57556.0,412.0
Gordon College,MA,41160.0,23250,52119.0,1247.0
Greenfield Community College,MA,13752.0,5500,37132.0,1232.0
Hampshire College,MA,71224.0,25000,46938.0,716.0
Harvard University,MA,82842.0,12500,101817.0,7755.0
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA,41282.0,13521,51724.0,49.0
College of the Holy Cross,MA,76510.0,25879,90543.0,3015.0
Holyoke Community College,MA,13587.0,4750,37277.0,3164.0
Lasell University,MA,63387.0,21500,49705.0,1152.0
Lesley University,MA,49226.0,15000,51173.0,1252.0
Longy School of Music of Bard College,MA,67675.0,19000,46543.0,34.0
University of Massachusetts-Lowell,MA,29521.0,18250,64874.0,11632.0
University of Massachusetts-Amherst,MA,33389.0,20000,71631.0,23694.0
University of Massachusetts-Boston,MA,29698.0,15000,65865.0,11848.0
Massachusetts Bay Community College,MA,13346.0,4620,52654.0,3156.0
MCPHS University,MA,58975.0,25000,125557.0,3474.0
Massachusetts College of Art and Design,MA,32256.0,19500,43582.0,1812.0
Massachusetts Institute of Technology,MA,79850.0,12462,143372.0,4571.0
Massachusetts Maritime Academy,MA,37721.0,20500,82392.0,1270.0
Massasoit Community College,MA,13887.0,5567,46111.0,3699.0
Merrimack College,MA,68089.0,23750,75584.0,4043.0
Middlesex Community College,MA,10759.0,5187,50651.0,4658.0
Montserrat College of Art,MA,56284.0,23707,33022.0,261.0
Mount Holyoke College,MA,77545.0,18258,58418.0,2198.0
Mount Wachusett Community College,MA,14330.0,5500,41118.0,2554.0
The New England Conservatory of Music,MA,77870.0,19500,34483.0,371.0
Nichols College,MA,55871.0,19500,58063.0,1152.0
Massachusetts College of Liberal Arts,MA,27705.0,15750,48102.0,748.0
North Shore Community College,MA,13204.0,5500,45391.0,4055.0
Northeastern University,MA,81353.0,22000,92538.0,15719.0
Northern Essex Community College,MA,11921.0,5661,42862.0,3350.0
College of Our Lady of the Elms,MA,53145.0,20500,51540.0,951.0
Quincy College,MA,19527.0,8300,52506.0,2126.0
Quinsigamond Community College,MA,13295.0,10500,45949.0,5413.0
Regis College,MA,64315.0,23750,52873.0,1061.0
Roxbury Community College,MA,15897.0,PS,38773.0,1583.0
Salem State University,MA,27615.0,19500,56662.0,4286.0
Simmons University,MA,63512.0,21780,63494.0,1750.0
Bard College at Simon's Rock,MA,82465.0,19000,46543.0,237.0
Smith College,MA,82134.0,13500,64027.0,2501.0
Springfield College,MA,57942.0,23000,48036.0,1916.0
Springfield Technical Community College,MA,14223.0,4996,36966.0,3965.0
University of Massachusetts-Dartmouth,MA,31677.0,18133,68804.0,5289.0
Stonehill College,MA,68412.0,23472,77745.0,2477.0
Suffolk University,MA,62822.0,20500,67506.0,4434.0
Tufts University,MA,84600.0,15043,83214.0,6804.0
Wellesley College,MA,83050.0,8700,84803.0,2318.0
Wentworth Institute of Technology,MA,55030.0,18500,82721.0,3641.0
Western New England University,MA,58933.0,19500,73157.0,2508.0
Westfield State University,MA,26435.0,15250,57346.0,3481.0
Wheaton College (Massachusetts),MA,76819.0,23000,67725.0,1744.0
Williams College,MA,81164.0,11667,88665.0,2060.0
Worcester Polytechnic Institute,MA,75678.0,26978,103470.0,5344.0
Worcester State University,MA,21586.0,13916,60624.0,3963.0
Adrian College,MI,54950.0,16000,55504.0,1635.0
Albion College,MI,68794.0,19500,58799.0,1347.0
Alma College,MI,61380.0,23250,54742.0,1208.0
Alpena Community College,MI,11320.0,5500,36442.0,715.0
Andrews University,MI,43670.0,19716,53187.0,1262.0
Aquinas College,MI,49018.0,17992,49584.0,1201.0
Baker College,MI,23456.0,16753,35833.0,3026.0
Bay de Noc Community College,MI,15674.0,8000,35090.0,1100.0
Calvin University,MI,53286.0,19500,58375.0,2921.0
Carnegie Institute,MI,21863.0,8568,38244.0,103.0
Central Michigan University,MI,26470.0,23183,55874.0,9916.0
Mott Community College,MI,12495.0,5975,32538.0,5152.0
Cleary University,MI,39110.0,12469,54186.0,774.0
Concordia University Ann Arbor,MI,50378.0,19500,56075.0,918.0
College for Creative Studies,MI,61238.0,19000,44860.0,1285.0
Davenport University,MI,35864.0,17353,45099.0,3213.0
Delta College,MI,11953.0,6000,37781.0,6061.0
MIAT College of Technology,MI,26607.0,9500,62575.0,1645.0
University of Detroit Mercy,MI,40069.0,19950,71030.0,2289.0
Dorsey College,MI,30059.0,9500,29392.0,547.0
Eastern Michigan University,MI,28168.0,18750,51793.0,10751.0
Ferris State University,MI,26066.0,15500,54735.0,8087.0
Glen Oaks Community College,MI,14645.0,5543,37540.0,577.0
Kettering University,MI,58610.0,26563,94823.0,1279.0
Gogebic Community College,MI,13398.0,6000,40950.0,508.0
Grace Christian University,MI,24637.0,9500,41663.0,707.0
Cornerstone University,MI,40737.0,18634,47314.0,1387.0
Grand Rapids Community College,MI,16255.0,5500,38377.0,10530.0
Grand Valley State University,MI,26578.0,19500,56118.0,19073.0
Great Lakes Christian College,MI,29664.0,12250,31053.0,130.0
Henry Ford College,MI,9983.0,7300,34795.0,8695.0
Hope College,MI,52206.0,23250,58427.0,3274.0
Jackson College,MI,15892.0,8750,36898.0,3563.0
Kalamazoo College,MI,71173.0,22810,65590.0,1175.0
Kalamazoo Valley Community College,MI,9517.0,5054,38618.0,4885.0
Kellogg Community College,MI,11939.0,10258,38329.0,2781.0
Kirtland Community College,MI,15802.0,7043,35831.0,965.0
Lake Michigan College,MI,17782.0,5104,34466.0,1811.0
Lake Superior State University,MI,25757.0,14764,49045.0,1391.0
Lansing Community College,MI,10180.0,5613,39206.0,7756.0
Lawrence Technological University,MI,54266.0,20500,69151.0,1701.0
Macomb Community College,MI,10719.0,3500,41596.0,14285.0
Madonna University,MI,38809.0,19000,59058.0,1637.0
Rochester University,MI,36215.0,14750,48707.0,827.0
University of Michigan-Ann Arbor,MI,33345.0,17625,83648.0,33488.0
